public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,created_at,author_id,text,id,conversation_id,in_reply_to_user_id
0,0,0,0,2021-10-15T04:59:52.000Z,848394576,@NdamukongSuh @bennybitcoins @solana $AMP- Champ,1448876254317404161,1448874457884344322,110485995
0,0,0,0,2021-10-15T04:58:37.000Z,989051491397890049,"@xMoonLana @solana @Lanabots Why did I not receive the airdrop?
adress：BQhvxgwQnmfDwBEV3oRWJe8gvUJZsrBMMRdcANFQJ8rH",1448875940579139585,1448475101804961796,1389321407088119808
0,0,0,0,2021-10-15T04:58:33.000Z,2614655202,"I'm in the running to win a guaranteed IDO Whitelist Spot for @StarLaunchSOL $STAR thanks to this campaign hosted by @DeFiDiscussion

https://t.co/Tu995w3BAa

#DeFi @solana $SOL @CardStarter $CARDS",1448875921914556420,1448875921914556420,
0,0,0,0,2021-10-15T04:57:45.000Z,1424007878256513025,"I'm in the running to win a guaranteed IDO Whitelist Spot for @StarLaunchSOL $STAR thanks to this campaign hosted by @DeFiDiscussion

https://t.co/PgKl4DGgo4

#DeFi @solana $SOL @CardStarter $CARDS",1448875720583831560,1448875720583831560,
0,0,0,0,2021-10-15T04:56:03.000Z,1417696586260385795,"@SolumDeFi @solana good good

@FabriLemus7 
@sangeet48981677 
@HoangVu141200 

#SOLUM #Solana",1448875295411347459,1448300547900166147,1443315427065614341
0,0,0,0,2021-10-15T04:55:59.000Z,1443558666494382083,"@CoinList @solana @terra_money I have got an email message right now.(violation ban)
I'm just a NEWBIE in this site(Coinlist)
and I did NOTHING until now.
I tried to option2 room at this time  but I couldn't enter because of the ban. That's what all happen. What is my violation?
Compenciate my Ticket!",1448875275962306567,1447959759307558918,866047997456658434
0,0,0,0,2021-10-15T04:55:38.000Z,746441296974229505,@NdamukongSuh @bennybitcoins @solana My #RipCity brother! #503 💪,1448875186950864899,1448874457884344322,110485995
0,0,0,0,2021-10-15T04:55:31.000Z,1405574350720454656,@MJthePopstar @Dieruno2 @solana @avalancheavax You mean some prize like a “compliment” ?,1448875157859229708,1448791920830996486,4852161465
0,0,1,0,2021-10-15T04:55:01.000Z,1441887470262439936,"I'm in the running to win a guaranteed IDO Whitelist Spot for @StarLaunchSOL $STAR thanks to this campaign hosted by @DeFiDiscussion

https://t.co/VYd5YuQd1x

#DeFi @solana $SOL @CardStarter $CARDS",1448875035842818049,1448875035842818049,
0,0,0,0,2021-10-15T04:54:25.000Z,836715531524685824,@NdamukongSuh @bennybitcoins @solana Soo lucky to be next to this man SUH!!!!!,1448874883975241735,1448874457884344322,110485995
0,0,2,0,2021-10-15T04:53:14.000Z,22252335,@Smedium27 @solana Probably paid like $20 in gas fees to do that — looking forward to days w/ all layer1 #Solana,1448874583574990859,1448873454057443329,131921372
28,12,468,7,2021-10-15T04:52:44.000Z,110485995,"Means a lot when they come out to the game, you know?

Great to see my guy @bennybitcoins tonight and his lady Summer.

Big believer in the @solana future! 

Let’s gooooo 🚀 https://t.co/Kwy71eSEZ7",1448874457884344322,1448874457884344322,
0,0,0,0,2021-10-15T04:52:36.000Z,1386099948261842945,"I'm in the running to win a guaranteed IDO Whitelist Spot for @StarLaunchSOL $STAR thanks to this campaign hosted by @DeFiDiscussion

https://t.co/Op3nqoQjFP

#DeFi @solana $SOL @CardStarter $CARDS",1448874423574929409,1448874423574929409,
0,0,1,0,2021-10-15T04:52:06.000Z,1446728357337395206,"Howdy! Howdy! The pigeons are flying Rn! ⚡ @PigeonFlightClb made my day completed #NFTGiveways $ETH wanna fly too? @elonmusk @CryptoJebb and @solana? 

#NFT #pigeons $BTC $ADA 

Follow to join 👉 https://t.co/N5rpb0zIyR https://t.co/SHY8z02Mtq",1448874301151535105,1448874301151535105,
