public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,author_id,text,created_at,id,conversation_id,in_reply_to_user_id
0,0,0,0,998480132,"Verifying my transaction for @Saber_HQ on @Solana.

🔄☀️ https://t.co/6FHKy6hxxf

Trial tokens claim id: 343304702

$SOL",2021-09-15T04:59:52.000Z,1438004618127044608,1438004618127044608,
0,0,1,0,1245883263132020738,@Cryptopucks1 @solana Projects that don’t have adoption don’t encounter hiccups,2021-09-15T04:59:51.000Z,1438004615631581184,1437958979410345988,1405761515555151878
0,0,0,0,215292042,"@0x_fxnction @solana @zilliqa is powered by the first peer- reviewed and safe-by-design smart contract language called Scilla,
Zilswap NFTs Market place will give users the ability to buy and sell NFTs , the Zilswqp NFT 
$Zil #Gzil #Zilliqa #Nfts #eth",2021-09-15T04:59:43.000Z,1438004582437859330,1437996833473585155,1414330132022452231
0,0,0,0,998480132,"Verifying my transaction for @Saber_HQ on @Solana.

🔄☀️ https://t.co/6FHKy6hxxf

Trial tokens claim id: 235153642139

$SOL",2021-09-15T04:59:23.000Z,1438004497511448585,1438004497511448585,
0,0,0,0,998480132,"Verifying my transaction for @Saber_HQ on @Solana.

🔄☀️ https://t.co/6FHKy6hxxf

Trial tokens claim id: 433164485891

$SOL",2021-09-15T04:59:04.000Z,1438004415613452289,1438004415613452289,
0,0,0,0,998480132,"Verifying my transaction for @Saber_HQ on @Solana.

🔄☀️ https://t.co/6FHKy6hxxf

Trial tokens claim id: 187037380374

$SOL",2021-09-15T04:58:41.000Z,1438004320029470720,1438004320029470720,
0,0,0,0,998480132,"Verifying my transaction for @Saber_HQ on @Solana.

🔄☀️ https://t.co/6FHKy6hxxf

Trial tokens claim id: 943341222165

$SOL",2021-09-15T04:58:24.000Z,1438004248852135940,1438004248852135940,
0,0,0,0,998480132,"Verifying my transaction for @Saber_HQ on @Solana.

🔄☀️ https://t.co/6FHKy6hxxf

Trial tokens claim id: 877690698090

$SOL",2021-09-15T04:58:06.000Z,1438004174738706439,1438004174738706439,
0,0,0,0,1367979710689513473,"@SolanaStatus @solana Hmm Ok, seems to be running again? Have a depending Transaction from a wallet to another, 13h later is Still depending and cant do anything.. 🙄",2021-09-15T04:57:51.000Z,1438004109664260096,1437856638279487493,1291496013551661056
0,0,0,0,47447829,"In a few weeks @THORChain @solana and @HavenXHV will all be flowing beautifully with hardened protocols.

No one will care about the struggles that got us there. #StayCalmAndHODL",2021-09-15T04:57:47.000Z,1438004096133304325,1438004096133304325,
0,0,0,0,998480132,"Verifying my transaction for @Saber_HQ on @Solana.

🔄☀️ https://t.co/6FHKy6hxxf

Trial tokens claim id: 414184122558

$SOL",2021-09-15T04:57:47.000Z,1438004094501732353,1438004094501732353,
0,1,0,0,962995930197716993,"@solana Good news $SOLPAD #SOLPAD @FinanceSolpad 
https://t.co/OcHdzi7R3M",2021-09-15T04:57:31.000Z,1438004024997920770,1437831260580184066,951329744804392960
0,0,6,0,189678641,"@solana $SOL and some of it's ecosystems are not followin' BTC shadow, that should freakin' tell you something! $MOLA $SAIL $ROPE $SAMO",2021-09-15T04:57:16.000Z,1438003962335137796,1438003962335137796,951329744804392960
0,0,0,0,1425322451034984451,"Verifying my transaction for @Saber_HQ on @Solana.

🔄☀️ https://t.co/B6EVkeisFG

Trial tokens claim id: 586296087702

$SOL",2021-09-15T04:57:06.000Z,1438003922799501319,1438003922799501319,
