text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,in_reply_to_user_id,conversation_id,author_id,created_at,id
"Almost time to claim your spot for this week's bounties 🪙🤑💰!

Are you ready 🤔🤔🤔?

We've got @MakerDAO, @terra_money, @anchor_protocol, @THORChain, and @solana bounties all dropping momentarily 🤯🤯🤯

Get your spots here:

https://t.co/KBe5k5bhcO https://t.co/9bzQwoE6Cu",4,6,38,1,,1482049445701300227,925712018937712640,2022-01-14T17:58:17.000Z,1482049445701300227
"@bitforexcom @terra_money Hello friends 
I am Iranian I need financial help
Please help me financially🙏🙏🙏🙏

This is my address (Dogecoin)👇👇👇

DCyBbVD8YTWDCYjK3Tq9EThNuiTXoWcmQ7

Help me please❤❤❤

Mobile  +98918 234 1109",0,0,0,0,957221394009354245,1468036901739266050,1471883975433936897,2022-01-14T17:56:50.000Z,1482049080427745281
"@krakenfx @terra_money Hello friends 
I am Iranian I need financial help
Please help me financially🙏🙏🙏🙏

This is my address (Dogecoin)👇👇👇

DCyBbVD8YTWDCYjK3Tq9EThNuiTXoWcmQ7

Help me please❤❤❤

Mobile  +98918 234 1109",0,0,0,0,1399148563,1470839449596608516,1471883975433936897,2022-01-14T17:56:25.000Z,1482048976983670787
"@iii_OIO_iii @terra_money A. Done 🤳 but prefer the desktop app

B. Most excited about @prism_protocol well because 🤯 forand @Levana_protocol for one of a kind NFT/Gaming/DeFi project 

C. @DefiKingdoms @BCGameOfficial “tha coolest”

D. Always happy to follow a fellow LUNAtics",0,0,0,0,1276528724318588929,1481778879882842112,1420229845259231237,2022-01-14T17:55:45.000Z,1482048806971928577
"Hey @terra_money and @NexusProtocol community 👋

Please see below the forum which will be replacing all prior forms of product development roadmap for @NexusProtocol.

We will be reviewing some of the key elements of this on our community call today.

https://t.co/gkJmGN10QQ",67,8,207,15,,1482048324764979200,1383761761468178432,2022-01-14T17:53:50.000Z,1482048324764979200
"@seb3point0 @stablekwon @terra_money It's always wen this, why that, but never How is @stablekwon",0,0,0,0,15306082,1481696773697589248,1167099554606530561,2022-01-14T17:52:35.000Z,1482048011047944194
"Hello @terra_money community , welcome on board of @PantosIO. Very nice to read that you will be one of the first to benefit from #Interoperability #crosschain. Together into a successful future https://t.co/aBpRS0wDAm",2,0,6,0,,1482047907322814469,1078752667512520710,2022-01-14T17:52:10.000Z,1482047907322814469
@JayJaboneta @terra_money The biggest mistake ser is that we can see the name. Crunchterra,0,0,1,0,9532092,1481914871495413762,4627530022,2022-01-14T17:51:38.000Z,1482047771737735168
@bubblesust @terra_money @CitrusExchange Just trading the dips maybe?,0,0,0,0,1465042253798264833,1482039616551149568,1226545844532514819,2022-01-14T17:51:25.000Z,1482047718071717891
@moonmuggle @NEARProtocol @auroraisnear @terra_money Yep! I even got some $SCRT last time I claimed my $LUNA staking rewards haha,0,1,2,0,1394651349128785924,1482014046945562628,1369065276692660231,2022-01-14T17:50:41.000Z,1482047532922515466
"@UPfinite @terra_money @danku_r @TerraBitesPod Hum probably, thanks !",0,0,0,0,41051732,1482036114932314112,3124944759,2022-01-14T17:50:40.000Z,1482047528606576642
@terra_money @CitrusExchange Ooh need to be able to do this with Secret too 🤔🙏🏻,0,0,0,0,1022028994772910086,1482039616551149568,1226545844532514819,2022-01-14T17:50:39.000Z,1482047525888659457
just helped a family member set up a @terra_money wallet &amp; gave them some $Luna &amp; $UST for their birthday. then helped them stake on @staderlabs.,0,1,0,0,,1482047200255430656,1479467428321112064,2022-01-14T17:49:22.000Z,1482047200255430656
@NEARProtocol @auroraisnear Doesn't @terra_money already do this? $LUNA stakers receive $LUNA $UST and other stablecoins for staking,0,1,1,0,1031949518609121280,1482014046945562628,1394651349128785924,2022-01-14T17:48:52.000Z,1482047075705622533
@jack_zampolin @terra_money @kava_platform @Umee_CrossChain I'm super exited about Kava 9. @kava_platform been in the business for over a year now. I still remember Kava &amp; Hard release on the binance launchpad. Its a battle tested team with experience &amp; longevity in the market. I'm sure they will deliver a great product.,1,0,2,0,82412279,1481998567262670850,943578225363562497,2022-01-14T17:48:35.000Z,1482047002670215174
@joaosilvestr @TaschaLabs @terra_money This.,0,0,0,0,69378065,1482045826461540354,1467641975847497730,2022-01-14T17:48:27.000Z,1482046971485507586
@Route2FI @Fidel_CashF1ow @terra_money @readwiseio  save this,0,1,0,0,1084397942319054850,1479500417025417220,1384108677116825605,2022-01-14T17:47:43.000Z,1482046786567090177
"@brikouuuu @terra_money @danku_r @TerraBitesPod This may be the culprit.

https://t.co/Wob9aBJtMy",0,1,1,0,3124944759,1482036114932314112,41051732,2022-01-14T17:47:03.000Z,1482046617532473348
@coingecko @ethereum @Tether_to @terra_money @PaxosGlobal @Uniswap @binance @krakenfx @Cryptologyexch @kucoincom Top 5 Exchanges where #Usdc has the most onramp volume traded https://t.co/oVG1KoXGgy,0,0,0,0,1445128712874233856,1482044582250438657,1445128712874233856,2022-01-14T17:46:59.000Z,1482046602399272963
"@TaschaLabs Ahem.. @terra_money has been paying stakers in $LUNA, $UST,  $EUT, $KRT..",0,2,5,0,1078389030,1482045826461540354,69378065,2022-01-14T17:45:48.000Z,1482046305459388419
@coingecko @ethereum @Tether_to @terra_money @PaxosGlobal Top 5 exchanges where #Usdc has the most volume traded https://t.co/knYtt7rj9A,0,1,0,0,1445128712874233856,1482044582250438657,1445128712874233856,2022-01-14T17:44:59.000Z,1482046097790881800
@terra_money @CitrusExchange I just tried!! worked great!!,0,0,0,0,1022028994772910086,1482039616551149568,125889228,2022-01-14T17:44:16.000Z,1482045917897404419
@terra_money @CitrusExchange Very cool.. https://t.co/JDksgPxFAx,0,0,6,0,1022028994772910086,1482039616551149568,324264206,2022-01-14T17:43:52.000Z,1482045815824826374
"@iii_OIO_iii @terra_money @NexusProtocol for the cool product and @nicdors 🙌
@anchor_protocol for all the capital they brought to the Terra ecosystem.

Adding @Caleb_TWT_ for the high quality youtube content 💯",0,0,2,0,1276528724318588929,1481778879882842112,3063066757,2022-01-14T17:43:13.000Z,1482045655271055365
@coingecko @ethereum @Tether_to @terra_money @PaxosGlobal The 5 most traded #Usdc onramps pairs by volume $USDC $USD $EUR $GBP https://t.co/mLG2SWY45Y,0,2,0,0,1445128712874233856,1482044582250438657,1445128712874233856,2022-01-14T17:42:59.000Z,1482045592943554560
@lejimmy @seb3point0 @Cephii1 @stablekwon @terra_money signed,0,0,3,0,19207319,1481696773697589248,1401051559945932800,2022-01-14T17:41:38.000Z,1482045254576402433
"@thegalacticdao @terra_money @Speicherx @Remi_Tetot @TheRyanLion @iii_OIO_iii @IcedKnife @PeterTheTerran @MonkeDAO @TerraBitesPod @NicolasFlamelX @galactic_punks floor price is looking juicy. I don’t even know what it is I just know it’s too low. Same comment tomorrow, and a year from now and 5 years from now anndddd",0,0,6,0,1481293873926348800,1482024988748230662,1421438516853190659,2022-01-14T17:41:27.000Z,1482045207625576455
@terra_money @CitrusExchange Interesting!!,0,0,0,0,1022028994772910086,1482039616551149568,1343977230234513409,2022-01-14T17:40:41.000Z,1482045013810941954
@larry0x @TheMoonMidas @seb3point0 @stablekwon @terra_money it’s crazy how far are people going just to evade US regulations…,0,1,3,0,1134151355776585729,1481696773697589248,1428378862296215559,2022-01-14T17:40:38.000Z,1482045001991397376
